N1,N2,D,C_real1,C_real2
0.0,0.0,0.0,400.0,400.0
0.0,0.0,0.0,399.4033503583158,399.41140562031177
0.0,0.0,0.0,398.5384258604407,399.4499402961061
0.0,0.0,0.0,396.3130032193932,399.1895178123828
0.0,0.0,0.0,397.38436812758175,400.0515963715582
0.0,0.0,0.0,398.534457333847,401.1675458530598
0.0,0.0,0.0,400.04661669435103,400.0290988923443
0.0,0.0,0.0,400.8917333331909,398.16779039781903
0.0,0.0,0.0,400.2727482862505,396.2835254413813
0.0,0.0,0.0,401.3128153513581,397.67699960204794
0.0,0.0,0.0,401.09207262618014,399.49012545517246
0.0,0.0,0.0,400.3993620793047,399.6499923858809
0.0,0.0,0.0,400.5455679811842,398.5917965958496
0.0,0.0,0.0,400.9733773013612,400.5538518786977
0.0,0.0,0.0,399.93342624181,401.4453020717807
0.0,0.0,0.0,399.78142987211356,403.1917379681678
0.0,0.0,0.0,400.27190707972846,403.81666799041227
0.0,0.0,0.0,400.91453651503895,404.00495991637126
0.0,0.0,0.0,399.508145388074,405.3334580019692
0.0,0.0,0.0,398.1506795073148,405.48619401173164
0.0,0.0,0.0,398.79983191696357,404.55865331434893
0.0,0.0,0.0,398.96865647371004,405.65239697953797
0.0,0.0,0.0,398.966705897039,404.67226986648615
0.0,0.0,0.0,396.07217312076017,403.6246397519468
0.0,0.0,0.0,395.5475642520941,403.04630032124794
0.0,0.0,0.0,394.6618533441546,403.37040231447327
0.0,0.0,0.0,394.17592567246993,403.20168339690525
0.0,0.0,0.0,394.95138414493283,402.2891952195674
0.0,0.0,0.0,394.7342451193139,404.40566882225613
0.0,0.0,0.0,395.69718858883766,403.03637573429756
0.0,0.0,0.0,395.689329008965,403.54797642943225
0.0,0.0,0.0,396.99531876570416,403.6358845302513
0.0,0.0,0.0,396.516447405628,402.84417905283965
0.0,0.0,0.0,397.22009041117474,403.10824900942396
0.0,0.0,0.0,396.7510292888072,402.8666654492486
0.0,0.0,0.0,396.3896814705054,403.5422074895889
0.0,0.0,0.0,395.7610280971531,403.96833632649464
0.0,0.0,0.0,396.6843389344098,404.3868532994762
0.0,0.0,0.0,395.907536514087,405.6583404422412
0.0,0.0,0.0,395.3004615909627,405.9901496061195
0.0,0.0,0.0,394.62830956151595,404.1454974233714
0.0,0.0,0.0,394.9441523722009,404.36083293885383
0.0,0.0,0.0,394.9519658066246,404.5620722614472
0.0,0.0,0.0,394.3888855376736,403.74656623361193
0.0,0.0,0.0,394.31431983668256,405.5902868686784
0.0,0.0,0.0,395.2256955474156,404.97516484451864
0.0,0.0,0.0,395.8657727883489,404.41242324211055
0.0,0.0,0.0,395.47907205983915,405.1969742512898
0.0,0.0,0.0,395.0313392359774,403.4336671011444
0.0,0.0,0.0,394.2077767747286,403.4621749729641
0.0,0.0,0.0,394.431922342422,404.6426044683299
0.0,0.0,0.0,393.8096283918942,405.29422045499916
0.0,0.0,0.0,394.33993530792867,405.0543087838956
0.0,0.0,0.0,395.2713945539677,405.459898681575
0.0,0.0,0.0,394.4902036528489,406.4394956270066
0.0,0.0,0.0,393.3638979701342,406.3905693337177
0.0,0.0,0.0,393.478910333935,406.7063198432082
0.0,0.0,0.0,392.86452060803674,406.5575542504987
0.0,0.0,0.0,392.84462580554276,407.4425862701924
0.0,0.0,0.0,392.1706396857009,407.3890950448263
0.0,0.0,0.0,392.0420580611025,405.96499352612534
0.0,0.0,0.0,394.8514625933047,405.7903766606079
0.0,0.0,0.0,393.4529714975517,407.1012090554804
0.0,0.0,0.0,392.49423966349383,407.35191265412055
0.0,0.0,0.0,393.48451583649484,406.5783442685421
0.0,0.0,0.0,393.16445187199383,405.9263050122913
0.0,0.0,0.0,393.15038593730316,404.20218741349703
0.0,0.0,0.0,392.02854532561366,403.98731635863373
0.0,0.0,0.0,393.1990280341169,404.5472920196503
0.0,0.0,0.0,395.041808306801,405.16178664743944
0.0,0.0,0.0,394.6151721679867,404.9513964637742
0.0,0.0,0.0,392.6758872559844,403.90601418230784
0.0,0.0,0.0,391.7766197952669,404.10678726761756
0.0,0.0,0.0,392.5601304632201,403.47248187224676
0.0,0.0,0.0,392.0941392380014,401.862926469943
0.0,0.0,0.0,392.09473387877745,402.0733818128087
0.0,0.0,0.0,392.66907247718297,401.2495933942351
0.0,0.0,0.0,394.7761065907528,402.4173273083758
0.0,0.0,0.0,394.7668686139085,401.8462383986986
0.0,0.0,0.0,394.5308602613925,401.9625958245863
0.0,0.0,0.0,394.60170137747787,402.4092539390626
0.0,0.0,0.0,395.459448567069,403.731550420974
0.0,0.0,0.0,396.68309373352946,403.55707590740354
0.0,0.0,0.0,397.1279717239853,403.10971860544066
0.0,0.0,0.0,396.5898135826787,404.96791793083395
0.0,0.0,0.0,396.18949833306857,406.8757588698455
0.0,0.0,0.0,395.9083067256268,407.0147613174826
0.0,0.0,0.0,397.07019812752054,406.9223554649374
0.0,0.0,0.0,397.5171225942032,406.5672831758166
0.0,0.0,0.0,397.0878910580585,406.2939467444663
0.0,0.0,0.0,396.491061327127,407.82171444157154
0.0,0.0,0.0,396.38732745756806,409.41572726968025
0.0,0.0,0.0,393.769437267717,409.2798837555376
0.0,0.0,0.0,394.4403578276112,408.8313538148791
0.0,0.0,0.0,395.632796535383,409.32418486687175
0.0,0.0,0.0,395.43739585536184,409.60563996370894
0.0,0.0,0.0,398.33188153664565,409.6993822468282
0.0,0.0,0.0,398.66777314551314,409.1025327011876
0.0,0.0,0.0,398.8316883489089,407.6662987573024
0.0,0.0,0.0,398.6597573774207,410.0000572918253
0.0,0.0,0.0,399.7584168674101,410.4801367881276
0.0,0.0,0.0,400.8766839989247,412.19396800749246
0.0,0.0,0.0,401.4684391377405,414.0706197291476
0.0,0.0,0.0,402.5288130897228,414.01347776263725
0.0,0.0,0.0,404.22184211333854,411.432576193512
0.0,0.0,0.0,403.59437625378985,411.5196638632771
0.0,0.0,0.0,402.6362949844586,411.182885214889
0.0,0.0,0.0,401.9665062535445,410.35218013484956
0.0,0.0,0.0,404.65732066815264,410.8159856480189
0.0,0.0,0.0,404.5396716739197,411.96275442259366
0.0,0.0,0.0,404.2416622060285,412.6612296986769
0.0,0.0,0.0,404.53727268139323,414.0894652906628
0.0,0.0,0.0,403.0588944774534,414.6342921907174
